description	price	prime	url	stars	num_reviews
MSI GeForce RTX™ 4060 Ti VENTUS 3X 8G OC, Scheda Video Gaming - Memoria 8GB GDDR6 ( 18Gbps/128-bit), PCI Express® Gen 4 x 16, DisplayPort x 3 (v1.4a), Torx Fan 4.0, HDMI 2.1a, Zero Frozr	474,00	False	https://www.amazon.it/MSI-GeForce-VENTUS-Scheda-Gaming/dp/B0C4F9HCF6/ref=sr_1_20?keywords=gpu&qid=1699106662&sr=8-20	4,4	121
ASUS DUAL AMD Radeon RX 7600 V2 OC Edition Scheda Grafica, 8 GB GDDR6 128-bit 18 Gbps PCIE 4.0, GPU Tweak III, DUAL-RX7600-O8G-V2	316,58	True	https://www.amazon.it/ASUS-Radeon-Grafica-128-bit-DUAL-RX7600-O8G-V2/dp/B0C6B3147Z/ref=sr_1_21?keywords=gpu&qid=1699106662&sr=8-21	4,4	4
MSI GeForce RTX 4070 VENTUS 2X 12G OC, Scheda Video Gaming -Memoria 12GB GDDR6X (21 Gbps/192-bit), PCI Express® Gen 4, DisplayPort x 3 (v1.4a), Boost clock 2505 MHz,TORX Fan 4.0, HDMI 2.1a	639,00	True	https://www.amazon.it/MSI-GeForce-Memoria-Express%C2%AE-DisplayPort/dp/B0BYZJWDNC/ref=sr_1_22?keywords=gpu&qid=1699106662&sr=8-22	4,6	451
Scheda grafica da gioco ZOTAC GEFORCE RTX 3060 Twin Edge da 12 GB GDDR6	318,00	True	https://www.amazon.it/Scheda-grafica-gioco-ZOTAC-GEFORCE/dp/B08WRF18SC/ref=sr_1_23?keywords=gpu&qid=1699106662&sr=8-23	4,5	235
luoshaPUCY Supporto Scheda Grafica GPU Supporto in Alluminio, Supporto Scheda Video Verticale Brace Regolabile, Reggi Scheda Video, Sostegno GPU, Nero	8,99	False	https://www.amazon.it/luoshaPUCY-Supporto-Alluminio-Verticale-Regolabile/dp/B0BVH6ZKL2/ref=sr_1_24?keywords=gpu&qid=1699106662&sr=8-24	4,6	55
Gigabyte NVIDIA GeForce RTX 4060 GAMING OC Scheda grafica - 8GB GDDR6, 128-bit, PCI-E 4.0, 2550MHz Core Clock, 2x DP 1.4, 2x HDMI 2.1a, NVIDIA DLSS 3 - GV-N4060GAMING OC-8GD	377,90	True	https://www.amazon.it/Gigabyte-NVIDIA-GeForce-GAMING-grafica/dp/B0C8ZS7N73/ref=sr_1_25?keywords=gpu&qid=1699106662&sr=8-25	4,6	20
EZDIY-FAB GPU VGA PCIe 8 pin U Turn 180 Gradi Angolo Connettore Scheda Adattatore di Alimentazione per Scheda Grafica Desktop Tipo Inverso 3Pack	11,99	False	https://www.amazon.it/EZDIY-FAB-Connettore-Adattatore-Alimentazione-Grafica/dp/B096VB8MB5/ref=sr_1_26?keywords=gpu&qid=1699106662&sr=8-26	4,6	660
Scheda Grafica RX 580, Scheda Grafica GDDR5 da 8 GB 256 Bit con GPU 1284 MHz, 60 Hz 4K, PCI Express 3.0, 2 Ventole di Raffreddamento, Interfaccia DP HDMI DVI D	140,87	True	https://www.amazon.it/Grafica-Express-Ventole-Raffreddamento-Interfaccia/dp/B0B8Q724XQ/ref=sr_1_27?keywords=gpu&qid=1699106662&sr=8-27	3,8	54
ASUS NVIDIA GeForce GT 730 Scheda Grafica PCIe 2.0, Memoria DDR3 2 GB, Raffreddamento Passivo, Auto-Extreme, GPU Tweak II, Grigio	72,14	True	https://www.amazon.it/ASUS-GeForce-Grafica-Raffreddamento-Auto-Extreme/dp/B0BHDVLWJQ/ref=sr_1_28?keywords=gpu&qid=1699106662&sr=8-28	4,6	5
XFX SPEEDSTER QICK319 RADEON RX 6750XT CORE Gaming Scheda Grafica con 12GB GDDR6 HDMI 3xDP, AMD RDNA™ 2 (RX-675XYJFDP)	379,00	False	https://www.amazon.it/XFX-SPEEDSTER-QICK319-Grafica-RX-675XYJFDP/dp/B0B34M1YLW/ref=sr_1_29?keywords=gpu&qid=1699106662&sr=8-29	4,6	654
ASUS ROG Strix NVIDIA GeForce RTX 4090 OC Edition Scheda Grafica, 24 GB GDDR6X 384-bit 21 Gbps PCIE 4.0, GPU Tweak III, ROG-STRIX-RTX4090-O24G-WHITE		False	https://www.amazon.it/ASUS-GeForce-Grafica-384-bit-ROG-STRIX-RTX4090-O24G-WHITE/dp/B0BPYY5JBB/ref=sr_1_30?keywords=gpu&qid=1699106662&sr=8-30	4,6	21
